model_id,model_type,num_hidden_layers,hidden_layers_size,activation_function,optimizer,momentum,beta1,learning_rate,num_epochs,train_time
1,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.0,0.0,0.1,5000,21.00986647605896
2,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.0,0.0,0.05,5000,19.61714243888855
3,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.0,0.0,0.025,5000,19.66827940940857
4,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.0,0.0,0.0125,5000,19.976518392562863
5,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.25,0.0,0.1,5000,20.167397260665894
6,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.25,0.0,0.05,5000,20.00444817543029
7,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.25,0.0,0.025,5000,20.583165645599365
8,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.25,0.0,0.0125,5000,20.813747882843018
9,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.5,0.0,0.1,5000,21.229837894439697
10,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.5,0.0,0.05,5000,20.82676911354065
11,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.5,0.0,0.025,5000,21.243976354599
12,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.5,0.0,0.0125,5000,20.159082651138306
13,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.75,0.0,0.1,5000,20.05796527862549
14,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.75,0.0,0.05,5000,19.902777910232544
15,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.75,0.0,0.025,5000,20.55404305458069
16,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.75,0.0,0.0125,5000,20.185351371765137
17,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.9,0.0,0.1,5000,19.907384395599365
18,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.9,0.0,0.05,5000,19.97151231765747
19,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.9,0.0,0.025,5000,19.921003103256226
20,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.9,0.0,0.0125,5000,20.1305673122406
21,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.95,0.0,0.1,5000,20.40052056312561
22,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.95,0.0,0.05,5000,19.8739230632782
23,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.95,0.0,0.025,5000,19.824268579483032
24,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,SGD,0.95,0.0,0.0125,5000,20.27608895301819
25,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.0,0.003003003003003,5000,20.47899055480957
26,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.0,0.001,5000,20.653592109680176
27,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.0,0.0003000300030003,5000,21.12799954414368
28,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.0,0.0001,5000,21.538103580474854
29,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.25,0.003003003003003,5000,20.1557686328888
30,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.25,0.001,5000,20.69549679756165
31,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.25,0.0003000300030003,5000,20.6608955860138
32,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.25,0.0001,5000,20.986854791641235
33,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.5,0.003003003003003,5000,20.028440475463867
34,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.5,0.001,5000,20.7447509765625
35,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.5,0.0003000300030003,5000,20.82715845108032
36,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.5,0.0001,5000,21.036338806152344
37,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.75,0.003003003003003,5000,20.83891987800598
38,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.75,0.001,5000,20.95070767402649
39,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.75,0.0003000300030003,5000,21.41712784767151
40,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.75,0.0001,5000,20.82249569892884
41,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.9,0.003003003003003,5000,21.24970316886902
42,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.9,0.001,5000,20.86586904525757
43,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.9,0.0003000300030003,5000,20.926987409591675
44,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.9,0.0001,5000,20.951740741729736
45,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.95,0.003003003003003,5000,20.937692880630493
46,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.95,0.001,5000,21.326975107193
47,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.95,0.0003000300030003,5000,21.123910188674927
48,FullyConnectedNet,2,200,<class 'torch.nn.modules.activation.Tanh'>,Adam,0.0,0.95,0.0001,5000,20.893699645996094
